county_code,county,precinct,nixon,vindman,source_url
BAK,Baker,Baxter 4A,6,3,https://enr.electionsfl.org/BAK/4047/Precincts/59511/
BAK,Baker,Cuyler 4D,17,18,https://enr.electionsfl.org/BAK/4047/Precincts/59511/
BAK,Baker,Glen St Mary 5A,56,47,https://enr.electionsfl.org/BAK/4047/Precincts/59511/
BAK,Baker,Macedonia 4C,28,27,https://enr.electionsfl.org/BAK/4047/Precincts/59511/
BAK,Baker,North Macclenny 3A,85,37,https://enr.electionsfl.org/BAK/4047/Precincts/59511/
BAK,Baker,Olustee 6A,18,5,https://enr.electionsfl.org/BAK/4047/Precincts/59511/
BAK,Baker,Sanderson 1A,137,43,https://enr.electionsfl.org/BAK/4047/Precincts/59511/
BAK,Baker,South Macclenny 2A,97,37,https://enr.electionsfl.org/BAK/4047/Precincts/59511/
BAK,Baker,Taylor 4B,10,9,https://enr.electionsfl.org/BAK/4047/Precincts/59511/
BAY,Bay,PCT 1,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 10,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 11,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 12,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 13,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 14,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 15,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 16,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 17,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 18,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 19,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 2,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 20,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 21,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 22,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 23,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 24,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 25,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 26,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 27,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 28,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 29,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 3,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 30,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 4,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 5,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 6,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 7,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 8,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BAY,Bay,PCT 9,0,0,https://enr.electionsfl.org/BAY/4001/Precincts/59391/
BRA,Bradford,Precinct 1,41,10,https://enr.electionsfl.org/BRA/4017/Precincts/58769/
BRA,Bradford,Precinct 10,13,12,https://enr.electionsfl.org/BRA/4017/Precincts/58769/
BRA,Bradford,Precinct 11,23,19,https://enr.electionsfl.org/BRA/4017/Precincts/58769/
BRA,Bradford,Precinct 12,66,53,https://enr.electionsfl.org/BRA/4017/Precincts/58769/
BRA,Bradford,Precinct 13,21,18,https://enr.electionsfl.org/BRA/4017/Precincts/58769/
BRA,Bradford,Precinct 2,65,8,https://enr.electionsfl.org/BRA/4017/Precincts/58769/
BRA,Bradford,Precinct 3,22,15,https://enr.electionsfl.org/BRA/4017/Precincts/58769/
BRA,Bradford,Precinct 4,74,11,https://enr.electionsfl.org/BRA/4017/Precincts/58769/
BRA,Bradford,Precinct 5,13,17,https://enr.electionsfl.org/BRA/4017/Precincts/58769/
BRA,Bradford,Precinct 6,112,19,https://enr.electionsfl.org/BRA/4017/Precincts/58769/
BRA,Bradford,Precinct 7,65,37,https://enr.electionsfl.org/BRA/4017/Precincts/58769/
BRA,Bradford,Precinct 8,14,13,https://enr.electionsfl.org/BRA/4017/Precincts/58769/
BRA,Bradford,Precinct 9,20,7,https://enr.electionsfl.org/BRA/4017/Precincts/58769/
BRE,Brevard,100,72,52,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,102,207,207,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,103,116,112,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,104,153,116,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,105,295,200,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,106,45,47,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,107,175,123,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,108,322,128,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,109,270,225,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,111,177,120,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,112,93,113,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,113,288,228,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,114,302,222,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,115,156,126,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,116,77,84,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,120,204,102,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,121,88,72,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,122,239,160,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,125,147,111,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,126,0,0,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,127,44,33,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,128,0,0,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,129,5,2,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,130,15,1,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,131,65,58,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,132,0,0,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,133,1,1,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,135,0,0,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,137,40,98,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,138,0,0,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,139,0,0,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,140,0,0,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,141,0,0,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,142,11,12,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,200,113,124,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,201,201,247,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,203,156,168,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,204,139,222,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,205,213,263,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,206,84,100,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,207,101,72,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,208,75,121,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,209,111,61,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,211,215,137,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,212,148,89,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,213,27,14,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,214,156,121,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,215,44,62,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,216,255,236,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,217,98,146,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,218,15,32,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,219,367,188,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,220,18,28,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,221,89,168,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,222,114,207,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,223,16,8,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,224,329,183,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,225,0,0,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,226,116,150,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,227,7,16,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,228,69,29,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,229,5,21,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,230,2,0,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,231,69,32,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,233,131,15,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,235,84,103,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
BRE,Brevard,236,16,38,https://enr.electionsfl.org/BRE/3995/Precincts/58156/
